Team,Year,Inning,#,0,Any,1,2,3,4,≥5,Most,Total,Avg,AvgPer9inn
As,2014,1,86,61,25,17,6,1,1,0,4,36,0.42,3.77
As,2014,2,86,68,18,10,6,2,0,0,3,28,0.33,2.93
As,2014,3,86,64,22,18,1,1,2,0,4,31,0.36,3.24
As,2014,4,86,65,21,13,3,2,2,1,6,39,0.45,4.08
As,2014,5,86,63,23,14,5,4,0,0,3,36,0.42,3.77
As,2014,6,86,63,23,13,6,1,1,2,6,43,0.50,4.50
As,2014,7,86,72,14,8,3,2,1,0,4,24,0.28,2.51
As,2014,8,86,70,16,12,1,1,2,0,4,25,0.29,2.62
As,2014,9,72,58,14,4,6,2,2,0,4,30,0.42,3.79
As,2014,10,15,13,2,1,1,0,0,0,2,3,0.20,1.80
As,2014,11,9,8,1,0,0,0,1,0,4,4,0.46,4.15
As,2014,12,5,4,1,1,0,0,0,0,1,1,0.21,1.93
As,2014,13,2,2,0,0,0,0,0,0,0,0,0.00,0.00
As,2014,14,2,1,1,1,0,0,0,0,1,1,0.60,5.40
As,2014,Total,793,612,181,112,38,16,12,3,6,301,0.38,3.42
Giants,2014,1,87,67,20,8,8,2,2,0,4,38,0.44,3.93
Giants,2014,2,87,68,19,13,5,1,0,0,3,26,0.30,2.69
Giants,2014,3,87,60,27,11,15,0,1,0,4,45,0.52,4.66
Giants,2014,4,87,67,20,8,7,4,1,0,4,38,0.44,3.93
Giants,2014,5,87,61,26,14,5,4,2,1,5,49,0.56,5.07
Giants,2014,6,87,67,20,11,7,2,0,0,3,31,0.36,3.22
Giants,2014,7,86,68,18,13,4,0,0,1,5,26,0.30,2.72
Giants,2014,8,86,67,19,14,2,1,2,0,4,29,0.34,3.03
Giants,2014,9,72,55,17,9,6,1,0,1,5,29,0.41,3.66
Giants,2014,10,8,7,1,1,0,0,0,0,1,1,0.13,1.13
Giants,2014,11,4,2,2,0,1,0,0,1,5,7,1.75,15.75
Giants,2014,12,2,2,0,0,0,0,0,0,0,0,0.00,0.00
Giants,2014,13,1,1,0,0,0,0,0,0,0,0,0.00,0.00
Giants,2014,Total,781,592,189,102,60,15,8,4,5,319,0.41,3.68
